Turn;Who;Utterance
737;Michael Clark;Okay. So once they reach the warehouse it is up to staff to enter the room number where they are headed.
738;rizwanp;but we can let u know
739;kaspara;Supplies need to be tracked in the incoming warehouse too
740;corbettj;it would be nice if you could just track when a consumable item is removed from it's respective storage area....then you would know that it was in the process of being used up so you could replace it
741;Michael Clark;Yes, a isle and shelf number for the warehouse or something similar.
742;nguyenh;something like that
743;reynens;think in terms of programming
745;reynens;something is removed from the stack, it is known
744;gosselinc;4:20 pm
746;corbettj;what are you saying charles?
747;corbettj;:P
748;gosselinc;just saying
749;Michael Clark;Okay...so up to the person removing it then.
750;reynens;chuck, simmer down now
751;gosselinc;lab is close to being done
752;reynens;no no
755;reynens;something should auto-track the numbers
753;rizwanp;so?
754;gosselinc;just saying
756;Michael Clark;Lets move onto security.
757;reynens;:P
758;rizwanp;we got almost 3 hours till LAN party
759;kaspara;Moving on is good
760;reynens;auto!
761;reynens;LAN!
762;Michael Clark;Q23. How are restricted areas currently protected?
766;Michael Clark;Keycard access only?
763;kaspara;dogs
764;reynens;rabid ones
765;rizwanp;wow
767;nguyenh;key card
768;corbettj;by security card
769;rizwanp;the first thing u say and it's dogs
770;rizwanp;u retard
771;Michael Clark;Q24. Is there a concern for staff and/or patients removing the tracking devices? Is additional security required in attaching tracking devices to equipment?
772;fairheadj;keycard access
773;reynens;yes, Key cards
774;saroyam;key cards
775;nguyenh;not, staffs are good people
776;Michael Clark;Q26. What sort of control (if any) is required to ensure that all items are signed-out properly to keep the inventory in the system accurate? For example, is there a storeroom a couple of employees manage, or will an automated vending-machine need to interface with the system?
777;rizwanp;wait wait
778;reynens;"Riz, ""dogs"" is better than what you've said"
779;corbettj;no concern about staff removing
780;rizwanp;i dunno about JIM
781;rizwanp;he's kinda shady
782;rizwanp;so staff are not trustable
783;nguyenh;they should be trust
784;reynens;Okay
785;Michael Clark;Okay... 
785;Michael Clark;any concerns about equipment left with patients.... the large stuff is no worry. Hard to get it by security.
786;reynens;if a supply is low, the supplies people are notified by the system (admin too i think
788;reynens;i'm pretty sure that's in the rfp, i thought
787;nguyenh;everythng should as automated as possible
789;reynens;yeah,
;reynens;" if there's something where you say ""do you want someone to do this or a machine"""
790;reynens;put in the machine
791;Michael Clark;Yes, admins will be notified....
792;reynens;Supplies will be notified too
793;reynens;Dept
794;reynens;...
795;Michael Clark;Okay. Perfect.
796;Michael Clark;All clear?
797;reynens;i feel shunned?
798;rizwanp;yes
799;reynens;sure
800;corbettj;yes
801;saroyam;ok
802;rizwanp;all clear
803;nguyenh;ye
804;Michael Clark;Next section here we come.
805;rizwanp;there's more?
806;rizwanp;u got too much time on ur hands
807;reynens;technical
808;reynens;that's on you peoples
809;Michael Clark;Q27. Given the constraints of an up-to-date system and zero downtime allowed, the system requires multiple levels of synchronized redundancy with one system waiting to step in when another goes down. What type of redundancy does your current system?
810;reynens;NONE
811;rizwanp;no redunduncy
812;nguyenh;ZERO
813;Michael Clark;none present, or none desired.
814;rizwanp;wait
815;rizwanp;none present
816;reynens;zero with a captial zero
817;Michael Clark;Okay.
818;corbettj;no redundant storage, but we have redundancy on power systems
819;Michael Clark;Q28. What type of backup power do you have for your network and computer systems in the case of a power outage?
820;nguyenh;not present but must be implement
821;rizwanp;desired = yes, big time
822;Michael Clark;Okay.
823;rizwanp;generator
824;saroyam;generator
825;kaspara;The hospital has a backup generator
826;reynens;we have backup power
827;corbettj;power is covered as we have other non-computer related systems that require always on power
828;rizwanp;we got horses ready to go on a whip lash
829;reynens;thats the answer
831;Michael Clark;okay. reliable I presume. :-)
830;nguyenh;but power will flip
833;nguyenh;so need independent APC
835;nguyenh;no UPC
832;Michael Clark;Q29. Is there currently any system in place for backing up the information?
834;reynens;sure
836;reynens;yes, once a year, onto tape
837;Michael Clark;What's APC?
838;rizwanp;let them decide if we need UPC or APC or BMC
839;reynens;seriously though, i dont know
840;saroyam;once a month
841;saroyam;on tape
842;nguyenh;UPC
843;reynens;UPC
844;reynens;tape storage, woot
845;Michael Clark;Okay.
;;Backup supply required on major systems as power will go off for a few seconds.
846;nguyenh;tape every night I think 
847;corbettj;Q29 = once a month on tape
848;nguyenh;That is corrent
849;corbettj;nightly then?
850;saroyam;yeah everynite
850;saroyam; and a monthly one too
851;Michael Clark;Backup = once a month on tape.
852;reynens;tape/month
853;reynens;yes
854;reynens;oh
855;reynens;tape/night/month
856;rizwanp;once a month?
857;Michael Clark;and monthly.
858;Michael Clark;oaky.
859;rizwanp;i say 24 hrs
860;nguyenh;power flip make take aroudn 10 min in some area
861;Michael Clark;Q30. Are the three IT staff presently familiar with the current system and software installed? Did they develop and setup the current system?
862;gosselinc;you say lots of things
863;reynens;you say nothing Riz
864;rizwanp;no
865;rizwanp;they're high school dropouts
866;gosselinc;"admin_ban riwanp ""cuz you talk too much"""
867;saroyam;familiar with it
868;reynens;they did not set it up
869;gosselinc;had to try that
870;Michael Clark;They can be trained. 
871;Michael Clark;Two more questions!
872;reynens;yes
873;reynens;go go go 
874;Michael Clark;Q32. What speed of Ethernet is the current system using?
875;reynens;and no remarks
876;reynens;t1? t3?
877;nguyenh;100 on the client
878;reynens;tylenol?
879;reynens;yes
880;nguyenh;1 g on the backbond
881;Michael Clark;Okay. 100 Mbit on client machine. T1 to hospital.
882;nguyenh;no
883;Michael Clark;Okay...?
884;rizwanp;listen to nguyen this time
885;nguyenh;1g on backbone from building to building
886;reynens;yeah
887;Michael Clark;1 g on the backbone... okay.
888;nguyenh;to hospital is a 30mbbs dsl
889;reynens;the bone at the back
890;nguyenh;maybe T1
891;rizwanp;ok don't listen to nguyen anymore
892;rizwanp;:P
893;saroyam;lets just go with t1
894;saroyam;next question
895;rizwanp;damn
896;reynens;T1 is two syllables i like it, moving on
897;Michael Clark;and 100 mbit for client machines. Good.
898;Michael Clark;Q33. Are the older non-networked computers networkable?
899;rizwanp;sure
900;saroyam;yes
901;nguyenh;yes
902;rizwanp;which ones?
903;reynens;"they an ""ethernet cards"""
904;corbettj;are you asking if they have an existing NIC?
905;reynens;you're advised to wrap it up
906;reynens;"so says a ""ta"""
907;Michael Clark;The ones used to track supplies right now I think.
908;rizwanp;yeah all of them have NICs
909;nguyenh;yes
910;reynens;they have ethernet cards
911;Michael Clark;Okay. 
;;Lets move onto Final remarks!
912;nguyenh;ok
913;reynens;final remarks?
914;Michael Clark;Thank you for participating in this elicitation session. The meeting minutes and a full log will be posted on Tri-Systems' website in the next few days. Do not hesitate to contact us if you have any questions or concerns. One again, thank you for your time.\
915;reynens;Riz, parking lot
916;rizwanp;bus stop
917;reynens;Thanks Mike.
918;Michael Clark;:-) Final remakrs.
919;nguyenh;thanks guys
920;rizwanp;i gotta be able to beat the crap out of u b4 catching the next 26
921;chiuo;ok all scribed up i think
922;Michael Clark;Thanks all.
923;gosselinc;riz talks too much... we should really mute him
924;gosselinc;for next time
925;Michael Clark;Meh.
926;reynens;26 is for losers
927;gosselinc;:)
928;rizwanp;yeah mute me
929;saroyam;bye
930;corbettj;riz / scott...you guys killed me....was laughing my ass off over here :P
931;reynens;save your results here people
932;rizwanp;who is corbett?
933;rizwanp;i thought that was the building
934;corbettj;<-- jeff
935;reynens;whups
936;rizwanp;oh
937;gosselinc;we done?
938;reynens;Jeff
939;rizwanp;nice...
940;rizwanp;u'r here
941;corbettj;lol 
942;rizwanp;ok bye bye
943;rizwanp;i hope i helped
944;corbettj;k we done then?
945;rizwanp;or i was helpful
946;gosselinc;don't forget to save
947;Michael Clark;It did. :-)
948;nguyenh;bye
949;corbettj;you guys gonna hook us up with a copy of the chat?
950;rizwanp;surely
951;Michael Clark;We are done. Confrence stopped. Enjoy the rest of the day.
952;rizwanp;u too
953;gosselinc;save your own jeff
954;corbettj;thx
955;rizwanp;come to LAn party
956;corbettj;=/
957;chiuo;ok i manually saved the decisions once by copy and paste also mike
958;chiuo;umm yea as i said i manually copied and pasted the decisions once also
