Turn;Who;Utterance
558;Price, Tyler;only need french for federal stuff
559;Tyler Gates;french, only in quebec
560;Bryan Lane;oh yeah... the french.
561;Tyler Gates;lets just assume that they separated
562;Michael;I propose that the developers come up with some icons that they believe represent our system and run them past us in the next prototype.
563;Michael;:D
564;Bryan Lane;ok. if I have to speak french there, they have to speak english here
565;beckd;okay
566;beckd;i think we're good for now guys
567;Tyler Gates;ok
568;Craig Stuart;alright, that's it folks
569;Michael;Well it so happens that our city is the capitol of the country....
570;Michael;:-) alright.
571;Bryan Lane;wow! promoted!
572;Price, Tyler;logout
573;Kia Dastmalchian;conference...started?
574;beckd;g'day
575;Tyler Gates;/quit
